id_especimen,longitud_total_mm,longitud_elitro_mm,anchura_max_mm,anchura_pronoto_mm,anchura_cabeza_mm,altura_cuerpo_mm,longitud_antena_mm,num_segmentos_antena,longitud_pata_anterior_mm,longitud_pata_posterior_mm,longitud_femur_mm,longitud_tibia_mm,longitud_tarso_mm,distancia_interocular_mm,diametro_ojo_mm,longitud_mandibula_mm,num_estrias_elitro,num_puntos_pronoto,longitud_espolon_mm,peso_mg,ratio_largo_ancho,ratio_antena_cuerpo,ratio_pata_cuerpo,area_dorsal_mm2,volumen_estimado_mm3,longitud_ala_mm,envergadura_mm,coloracion
ESP010473,19.35,11.93,7.24,6.14,4.11,5.49,9.07,11.0,6.92,11.69,5.6,4.59,3.5,1.84,1.0,1.93,11,41.0,1.06,192,2.67,0.469,0.604,109.3,384.6,15.03,37.3,metalico
ESP010474,,7.75,6.88,5.24,3.99,4.7,6.05,9.0,5.61,8.73,3.87,3.87,2.56,1.75,1.05,1.61,8,,0.89,103,1.85,0.474,0.684,68.5,206.3,11.96,30.8,negro
ESP010475,16.03,10.07,5.73,4.46,3.16,4.55,7.6,11.0,5.73,10.16,5.05,4.43,2.89,1.59,0.9,1.9,10,48.0,1.09,94,2.8,0.474,0.634,71.6,209.0,13.41,32.55,rojizo
ESP010476,19.13,12.06,5.94,4.71,3.23,5.33,9.2,11.0,6.61,11.36,,4.79,3.37,1.65,0.92,1.79,10,59.0,0.84,218,3.22,,0.594,88.6,302.8,,37.5,metalico
ESP010477,9.24,6.33,6.18,4.93,3.38,3.0,4.07,,4.31,5.95,2.74,2.57,1.6,1.71,0.84,0.99,9,30.0,0.55,30,1.5,0.44,,44.5,85.7,7.91,22.0,marron
ESP010478,21.65,13.56,8.08,6.76,4.43,5.78,10.24,11.0,7.82,12.42,,5.33,3.53,2.29,1.19,2.3,9,47.0,1.25,224,2.68,0.473,0.574,136.4,505.6,,41.34,metalico
ESP010479,11.84,7.1,6.13,4.44,3.16,,5.75,9.0,5.02,7.38,3.38,2.94,1.88,1.79,0.86,1.45,8,36.0,0.71,82,1.93,0.486,0.623,56.6,162.2,10.67,27.47,marron
ESP010480,13.91,8.56,5.36,3.89,3.23,4.72,7.28,7.0,5.73,8.75,4.0,3.72,2.5,1.38,0.62,1.37,11,35.0,0.87,116,2.6,0.523,0.629,58.2,176.0,11.4,28.16,rojizo
ESP010481,20.75,12.99,8.79,6.77,,6.34,9.82,9.0,8.58,12.15,5.48,4.78,3.41,2.35,1.18,2.36,10,64.0,1.04,251,2.36,0.473,0.586,142.3,578.2,15.33,39.45,marron
ESP010482,18.39,11.18,7.15,5.34,3.7,4.85,9.69,11.0,6.29,11.03,5.03,4.48,3.1,2.01,1.02,2.18,12,53.0,0.92,187,2.57,0.527,0.6,102.6,318.9,14.34,35.83,negro
ESP010483,17.37,10.75,6.73,5.83,3.76,4.89,7.28,11.0,6.56,9.78,4.52,4.5,2.56,1.89,0.92,1.52,10,44.0,0.96,162,2.58,0.419,0.563,91.2,285.8,13.84,34.41,metalico
ESP010484,12.76,8.06,6.42,5.35,3.69,4.6,5.71,,5.22,7.77,3.4,3.57,2.34,1.67,0.95,1.58,8,45.0,0.55,59,1.99,0.447,,63.9,188.4,,26.78,marron
ESP010485,19.88,12.59,7.49,6.36,3.94,5.67,8.79,11.0,7.88,11.38,4.96,5.05,3.18,2.15,1.1,1.99,13,65.0,1.01,218,2.65,0.442,0.572,116.1,422.1,16.23,39.95,metalico
ESP010486,20.0,11.97,6.91,5.59,4.11,4.96,8.91,12.0,6.94,11.3,5.53,4.57,3.35,1.9,0.95,2.03,11,64.0,1.12,201,2.89,0.446,0.565,107.8,342.7,15.69,38.29,negro
ESP010487,16.93,10.81,7.19,5.73,4.32,,8.9,11.0,6.62,9.87,4.42,4.44,2.58,1.95,1.02,1.83,11,35.0,0.79,169,2.35,0.526,0.583,94.9,307.4,13.21,33.61,negro
ESP010488,10.78,6.71,5.88,4.99,3.16,3.7,3.65,9.0,4.05,6.71,3.18,2.81,1.71,1.64,0.92,1.29,8,42.0,0.82,22,1.83,0.339,0.622,49.4,117.3,8.54,22.96,negro
ESP010489,19.09,11.83,7.79,6.08,4.37,4.7,8.43,11.0,7.51,11.51,4.88,4.82,3.36,2.07,1.01,2.1,9,62.0,1.15,195,2.45,0.442,0.603,116.0,349.5,,36.25,metalico
ESP010490,18.51,11.46,7.52,5.68,,6.12,8.65,12.0,7.76,10.9,,4.51,3.19,2.13,0.95,1.95,10,66.0,0.99,225,2.46,0.467,0.589,108.6,425.9,15.37,38.26,metalico
ESP010491,,10.65,7.36,5.78,4.27,5.74,7.87,11.0,6.61,10.68,5.39,4.22,3.07,2.14,1.04,1.77,11,44.0,1.05,175,2.36,0.453,0.614,99.8,367.3,14.06,35.48,metalico
ESP010492,12.63,7.86,6.73,5.68,3.83,,5.22,9.0,5.68,7.52,3.17,3.3,1.87,2.0,1.0,1.29,10,45.0,0.57,52,1.88,0.413,0.595,66.3,175.9,9.99,26.71,negro
ESP010493,12.94,8.4,4.82,3.75,,3.42,6.02,7.0,4.59,7.45,3.28,3.2,2.04,1.25,0.6,1.13,9,33.0,0.54,42,2.68,0.465,0.576,48.6,106.7,9.17,23.16,marron
ESP010494,20.14,12.42,7.38,5.81,3.98,6.09,9.5,11.0,7.69,11.54,5.23,4.58,3.28,2.05,1.09,1.84,10,41.0,1.04,244,2.73,0.472,0.573,115.9,452.6,15.8,38.98,metalico
ESP010495,12.38,8.26,5.76,4.83,3.16,,6.42,8.0,4.84,7.88,3.65,3.5,2.07,1.56,0.73,1.09,9,38.0,0.62,80,2.15,0.519,0.637,55.6,150.1,11.03,27.82,metalico
ESP010496,11.8,7.14,6.39,5.2,3.64,3.14,5.75,8.0,5.75,7.88,3.63,3.35,2.36,1.68,0.95,1.76,8,,0.77,81,1.85,0.487,0.668,58.8,118.4,10.23,26.85,marron
ESP010497,20.27,12.72,7.51,6.02,4.24,5.7,8.79,11.0,7.61,11.87,5.51,4.83,3.35,2.03,0.9,1.98,12,58.0,1.08,207,2.7,0.434,0.586,118.7,433.8,16.06,39.63,marron
ESP010498,13.03,8.07,5.74,4.61,3.16,3.43,6.51,8.0,5.09,7.64,3.47,2.94,1.84,1.77,0.67,1.52,9,22.0,0.77,57,2.27,0.5,0.586,58.3,128.3,10.31,26.36,metalico
ESP010499,18.01,11.07,5.82,4.78,3.58,,8.35,10.0,6.56,11.27,5.35,4.72,3.15,1.67,0.91,1.81,12,55.0,0.87,165,3.09,0.464,0.626,81.8,267.3,14.53,34.88,negro
ESP010500,17.68,11.03,7.44,6.25,4.16,5.23,8.38,11.0,7.11,11.08,4.6,4.71,2.85,2.1,1.08,2.05,9,50.0,0.67,183,2.38,0.474,0.627,102.6,344.0,,35.78,metalico
ESP010501,11.55,7.15,5.68,4.62,2.98,3.75,5.55,9.0,4.98,8.39,3.83,3.61,2.39,1.52,0.71,1.26,8,40.0,0.46,43,2.03,0.481,0.726,51.2,123.0,10.41,26.5,negro
ESP010502,11.51,7.31,5.78,4.72,3.07,3.16,4.98,7.0,4.15,6.04,2.83,2.33,1.81,1.65,0.91,1.09,9,28.0,0.52,23,1.99,0.433,0.525,51.9,105.1,7.96,21.7,negro
ESP010503,16.27,9.99,7.38,6.33,3.85,5.13,7.84,11.0,6.14,10.0,4.28,,2.76,2.05,0.99,2.03,12,62.0,0.93,118,2.2,0.482,0.615,93.7,308.0,14.46,36.3,negro
ESP010504,16.85,10.2,7.31,5.91,,5.02,8.01,,6.83,10.01,4.7,3.83,2.64,1.99,1.07,1.98,12,67.0,0.94,162,2.31,0.475,0.594,96.1,309.2,13.81,34.93,metalico
ESP010505,,11.95,8.67,7.05,4.89,5.23,8.9,10.0,7.58,11.79,5.52,4.74,3.05,2.32,1.23,2.23,10,68.0,1.11,218,2.28,0.45,0.596,133.8,448.5,16.43,41.53,metalico
ESP010506,19.48,12.12,7.24,5.8,3.87,6.68,8.64,,7.61,11.36,5.35,4.92,3.14,2.0,0.98,2.19,12,57.0,0.68,197,2.69,0.444,0.583,110.0,471.1,14.49,36.22,metalico
ESP010507,12.62,7.81,5.67,4.23,3.09,3.79,5.8,10.0,4.74,7.99,3.4,3.35,2.23,1.5,0.76,1.25,8,46.0,0.71,59,2.23,0.46,0.633,55.8,135.6,9.89,25.45,negro
ESP010508,12.47,7.47,5.96,4.56,3.21,,5.3,,5.17,6.88,3.24,,1.91,1.63,0.79,1.07,8,43.0,0.85,56,2.09,0.425,0.552,58.0,140.8,,26.2,negro
ESP010509,12.76,7.77,6.14,5.57,3.25,3.87,6.36,9.0,6.14,7.61,,3.44,2.12,1.78,0.87,1.28,9,41.0,0.62,77,2.08,0.498,0.596,61.1,151.6,10.45,27.04,negro
ESP010510,,8.21,5.83,4.8,3.22,4.12,6.43,9.0,5.57,8.23,3.65,3.65,2.35,1.69,0.86,1.54,8,31.0,0.73,91,2.33,0.473,,61.8,163.2,11.15,28.13,negro
ESP010511,12.76,8.18,5.35,4.31,3.11,4.33,5.83,8.0,5.29,7.3,3.31,3.47,1.96,1.66,0.69,0.93,6,39.0,0.68,82,2.39,0.457,0.572,53.2,147.8,9.53,24.41,metalico
ESP010512,20.4,12.55,8.6,6.75,4.51,6.71,9.62,12.0,7.92,12.4,5.71,4.98,3.38,2.37,1.3,2.11,11,60.0,0.95,236,2.37,0.472,0.608,136.8,588.6,16.43,41.46,rojizo
ESP010513,19.06,11.98,7.9,6.17,4.32,5.43,8.72,12.0,7.83,11.95,,5.05,3.28,2.18,1.05,2.16,10,54.0,0.85,217,2.41,,0.627,117.4,408.8,16.17,40.24,marron
ESP010514,9.69,6.1,4.0,3.34,2.16,2.25,4.49,8.0,4.3,6.04,2.89,2.5,1.78,1.19,0.61,1.16,10,26.0,0.5,5,2.42,0.463,0.623,30.2,43.6,7.7,19.4,marron
ESP010515,12.7,8.13,5.97,4.96,3.31,3.55,6.27,9.0,5.67,6.57,3.21,,1.64,1.75,0.93,1.34,8,5.0,0.52,52,2.13,0.494,,59.1,134.6,10.74,27.45,negro
ESP010516,12.58,7.48,5.65,4.6,3.27,4.14,5.68,8.0,5.86,7.25,3.31,2.97,2.0,1.49,0.76,1.19,10,40.0,0.51,57,2.23,0.452,,55.4,147.1,10.18,26.01,negro
ESP010517,19.6,12.21,6.78,5.47,3.99,5.37,8.45,11.0,7.65,10.45,4.63,4.39,2.78,1.76,1.04,1.67,11,44.0,0.5,198,2.89,0.431,0.533,103.7,356.8,15.01,36.8,metalico
ESP010518,,7.11,5.91,4.88,,3.71,5.94,,4.96,7.78,3.64,3.4,2.08,1.49,0.9,1.23,9,44.0,0.64,61,2.02,0.497,0.651,55.1,131.0,10.38,26.67,negro
ESP010519,19.38,12.42,7.28,5.99,4.21,,8.78,,6.76,10.58,4.7,4.19,2.96,2.03,1.08,1.87,10,56.0,1.27,173,2.66,0.453,0.546,110.0,396.5,15.06,37.4,negro
ESP010520,10.34,6.1,5.04,4.03,2.93,2.87,4.56,,3.81,5.64,2.83,2.47,1.44,1.56,0.61,0.93,9,29.0,0.55,5,2.05,0.441,0.545,40.6,74.8,8.05,21.14,negro
ESP010521,,8.43,6.06,4.76,3.34,3.24,6.04,,5.2,8.41,,3.39,2.38,1.81,0.74,1.54,8,40.0,1.01,49,2.16,0.461,0.642,61.9,128.5,10.22,26.5,marron
ESP010522,21.34,13.68,8.12,6.21,4.58,5.63,9.9,11.0,7.74,12.13,5.74,5.08,3.66,2.1,1.1,2.29,10,65.0,0.76,227,2.63,0.464,0.568,135.2,487.8,17.21,42.54,metalico
ESP010523,18.94,11.67,8.1,6.29,4.27,5.74,9.1,12.0,7.39,11.72,5.25,4.8,3.27,2.22,1.16,2.29,10,49.0,1.23,212,2.34,0.48,0.619,119.7,440.3,14.97,38.04,marron
ESP010524,14.78,9.02,7.29,5.84,4.07,4.85,6.89,8.0,7.06,9.46,4.51,3.88,2.7,2.02,1.02,1.59,9,52.0,0.87,140,2.03,0.466,0.64,84.0,261.3,12.21,31.71,metalico
ESP010525,19.47,12.0,6.99,5.59,3.75,,8.56,12.0,7.54,10.67,5.06,4.36,3.09,1.92,0.89,1.97,10,56.0,0.73,179,2.79,0.44,0.548,106.2,345.0,15.05,37.09,marron
ESP010526,13.28,7.76,6.18,4.83,,3.65,5.52,9.0,5.72,8.7,3.93,,2.46,1.62,0.86,1.27,6,46.0,1.05,84,2.15,0.416,0.655,64.0,149.8,10.14,26.46,negro
ESP010527,13.9,8.07,5.88,5.12,,4.06,6.43,9.0,5.52,8.49,3.77,3.38,2.29,1.52,0.83,1.64,9,33.0,0.77,58,2.36,0.463,,63.8,165.9,11.16,28.2,negro
ESP010528,13.14,8.17,6.41,4.94,3.53,4.52,5.98,8.0,6.02,8.21,3.84,3.04,2.19,1.96,0.92,1.43,10,39.0,0.5,80,2.05,0.455,0.625,65.7,190.4,10.63,27.67,marron
ESP010529,12.49,8.11,5.46,4.48,2.81,3.9,6.01,9.0,4.78,7.38,3.31,2.89,2.07,1.48,0.8,1.69,7,28.0,0.87,61,2.29,0.481,0.591,53.2,133.0,9.97,25.4,negro
ESP010530,,11.82,6.02,4.67,3.11,5.06,8.03,,6.98,10.23,4.3,,2.88,1.76,0.89,1.87,10,55.0,0.92,166,3.27,0.408,0.52,92.4,299.6,15.23,36.48,negro
ESP010531,13.72,8.5,6.25,5.19,3.5,,6.06,8.0,6.08,7.79,3.61,,2.28,1.72,0.93,1.08,8,45.0,1.08,106,2.2,0.442,0.568,66.9,204.5,10.32,26.89,marron
ESP010532,18.61,11.43,7.92,6.45,4.24,,8.22,11.0,7.24,10.55,4.72,4.42,2.98,1.98,1.16,1.99,12,55.0,0.94,170,2.35,,0.567,115.0,400.2,14.71,37.34,metalico
ESP010533,11.99,7.09,4.93,3.87,2.75,4.17,6.05,,4.83,6.85,3.08,2.89,1.87,1.45,0.67,1.15,10,49.0,0.75,72,2.43,0.505,0.571,46.1,123.2,10.55,26.03,marron
ESP010534,,13.66,8.8,7.19,4.84,6.09,9.92,11.0,8.35,12.84,5.96,5.43,3.69,2.56,1.16,2.44,11,57.0,1.05,296,2.52,0.447,0.578,152.4,594.9,16.26,41.32,marron
ESP010535,18.01,10.51,8.0,6.8,4.51,5.47,7.93,10.0,7.12,10.47,4.89,4.14,2.84,2.06,1.04,2.03,11,47.0,0.93,182,2.25,0.44,,112.4,394.1,13.71,35.42,rojizo
ESP010536,14.33,8.96,5.64,4.61,3.23,4.23,6.78,9.0,5.11,8.26,3.76,3.73,2.35,1.53,0.77,1.38,8,45.0,0.59,121,2.54,0.473,0.576,63.0,170.9,11.62,28.88,marron
ESP010537,21.2,12.82,9.7,7.83,,6.55,9.56,10.0,7.95,12.16,5.49,,3.08,2.65,1.35,2.56,12,40.0,0.95,280,2.19,0.451,0.574,160.4,673.5,18.02,45.74,marron
ESP010538,11.11,7.3,6.89,5.66,3.56,4.16,5.55,9.0,5.26,7.99,3.48,,2.22,1.93,0.94,1.52,9,40.0,0.86,102,1.61,0.5,0.719,59.7,159.2,8.86,24.61,negro
ESP010539,13.14,8.16,6.43,5.13,3.4,4.56,6.47,9.0,5.83,8.92,4.12,3.37,2.59,1.72,0.96,,7,38.0,0.6,72,2.04,0.492,0.679,65.9,192.6,11.33,29.09,marron
ESP010540,20.24,12.6,8.67,7.0,4.73,,8.91,11.0,7.21,12.08,5.58,5.07,3.68,2.41,1.17,2.12,11,51.0,1.03,251,2.33,0.44,0.597,136.9,487.0,15.73,40.13,marron
ESP010541,13.88,9.12,6.25,5.27,3.32,4.34,6.65,10.0,5.69,8.5,3.95,3.57,2.49,1.67,0.95,1.56,8,,0.91,92,2.22,0.479,0.612,67.7,188.2,11.31,28.87,negro
ESP010542,18.08,11.36,8.59,6.9,4.47,5.68,7.9,,7.4,11.05,4.76,4.6,3.25,2.27,1.2,2.12,11,37.0,1.07,177,2.1,0.437,0.611,121.1,441.1,14.8,38.19,negro
ESP010543,13.86,8.61,7.04,5.53,3.75,3.66,6.82,,6.14,8.2,,3.5,2.34,1.91,0.95,1.43,8,36.0,0.46,107,1.97,0.492,0.592,76.1,178.6,11.29,29.62,rojizo
ESP010544,14.15,8.95,6.44,5.06,,,6.4,,6.08,7.21,3.06,2.95,2.01,1.87,0.9,1.47,9,34.0,0.54,82,2.2,0.452,0.51,71.1,165.8,10.98,28.4,negro
ESP010545,19.02,11.83,8.24,6.53,,6.09,8.33,11.0,7.69,11.24,,4.8,3.33,2.28,1.08,2.01,11,54.0,0.93,208,2.31,0.438,0.591,122.2,477.2,14.26,36.76,rojizo
ESP010546,17.7,10.88,7.6,6.07,,5.19,8.12,11.0,6.75,11.36,5.61,4.8,3.18,1.95,1.1,2.17,12,22.0,0.8,191,2.33,0.459,0.642,104.9,349.1,14.33,36.26,marron
ESP010547,10.95,6.8,4.63,3.95,2.39,3.22,5.1,8.0,4.48,6.13,2.81,,1.83,1.39,0.75,1.03,8,38.0,0.63,5,2.37,0.466,0.56,39.5,81.6,8.54,21.71,negro
ESP010548,,12.3,8.27,6.67,4.18,5.41,9.3,11.0,7.88,11.96,5.34,,3.33,2.28,1.13,2.12,9,71.0,1.15,212,2.48,,0.584,132.0,457.9,15.5,39.27,marron
ESP010549,12.4,7.66,5.45,3.89,3.14,3.88,6.1,8.0,4.94,8.11,3.7,3.5,2.42,1.5,0.81,1.42,8,19.0,0.86,48,2.28,0.492,0.654,52.7,131.1,9.31,24.07,negro
ESP010550,18.31,11.15,7.15,5.51,4.35,4.91,8.06,10.0,6.92,11.07,5.15,4.6,3.02,1.93,1.0,1.85,10,56.0,0.57,181,2.56,0.44,0.605,102.1,321.4,14.21,35.57,marron
ESP010551,22.35,13.68,8.57,6.86,4.83,,9.46,11.0,8.68,12.92,5.82,5.57,3.83,2.32,1.23,2.27,11,75.0,0.98,270,2.61,0.423,0.578,149.4,593.8,17.87,44.31,metalico
ESP010552,11.08,6.95,5.68,5.05,3.11,3.91,4.56,8.0,4.89,7.11,3.36,,2.07,1.62,0.71,1.3,8,14.0,0.79,55,1.95,0.412,0.642,49.1,123.0,9.28,24.24,marron
ESP010553,10.27,6.76,6.01,4.73,3.37,,4.73,7.0,4.85,6.31,2.77,2.36,1.7,1.81,0.85,1.02,7,24.0,0.63,37,1.71,0.461,0.614,48.1,119.4,7.63,21.27,marron
ESP010554,13.22,8.11,6.61,5.24,3.83,4.73,6.18,8.0,5.45,8.7,4.17,3.53,2.46,1.97,0.87,1.34,10,38.0,0.91,90,2.0,0.467,0.658,68.2,206.7,11.33,29.27,negro
ESP010555,18.11,11.49,6.93,5.55,4.07,4.85,8.39,11.0,7.4,11.21,4.96,4.89,3.01,1.86,1.07,1.7,12,54.0,1.14,203,2.61,,0.619,97.9,304.3,14.1,35.13,metalico
ESP010556,,12.35,6.3,5.05,3.6,5.69,8.47,11.0,7.56,11.61,5.61,4.78,3.15,1.76,0.85,1.83,9,77.0,0.88,192,3.1,0.434,,95.9,349.9,14.28,34.86,marron
ESP010557,19.02,11.67,6.14,5.12,3.46,5.53,9.37,11.0,6.89,11.74,5.45,4.93,3.35,1.64,0.86,2.17,11,46.0,0.56,174,3.1,0.493,0.617,91.1,322.9,15.1,36.34,negro
ESP010558,13.17,7.98,5.62,4.37,3.31,4.68,5.74,,6.3,8.07,3.84,3.33,2.52,1.44,0.76,1.34,9,49.0,0.65,94,2.34,0.436,0.613,57.7,173.2,11.12,27.86,metalico
ESP010559,11.9,7.38,6.27,5.21,3.39,3.96,6.46,8.0,5.23,6.91,3.25,2.82,1.98,1.73,0.73,1.52,10,32.0,0.69,61,1.9,0.543,0.581,58.2,147.7,11.32,28.91,marron
ESP010560,21.79,13.45,8.56,6.87,4.59,6.31,10.44,10.0,7.94,13.3,6.12,5.52,3.97,2.4,1.27,2.28,11,,1.12,254,2.55,0.479,0.61,145.5,588.5,17.66,43.88,rojizo
ESP010561,19.14,11.98,7.77,6.26,3.97,,9.03,10.0,7.62,11.24,5.13,4.51,3.01,1.99,1.12,2.09,13,65.0,0.76,186,2.46,,,116.0,448.4,14.71,37.19,metalico
ESP010562,10.32,6.16,6.21,5.04,3.33,3.63,3.62,,4.63,6.75,2.91,2.98,2.05,1.92,0.84,1.08,8,24.0,0.34,32,1.66,0.351,0.654,50.0,116.3,9.42,25.05,negro
ESP010563,12.93,7.79,5.73,4.54,3.34,4.11,5.66,6.0,5.45,7.92,3.89,3.61,2.12,1.69,0.81,1.56,9,34.0,0.63,64,2.26,0.438,0.613,57.8,152.3,11.05,27.83,negro
ESP010564,19.09,11.81,7.88,6.21,4.32,5.14,8.12,12.0,7.6,11.31,5.32,4.65,3.25,2.22,1.15,2.4,11,51.0,1.01,162,2.42,0.425,0.592,117.3,386.6,14.53,36.94,marron
ESP010565,,11.73,8.41,6.59,4.76,5.31,9.65,,8.66,11.33,5.35,4.7,3.06,2.45,1.06,2.06,10,68.0,0.9,256,2.39,0.48,0.563,132.0,449.3,15.93,40.27,metalico
ESP010566,11.94,7.63,6.38,4.88,,4.08,5.22,9.0,4.4,6.8,3.07,2.78,1.6,1.83,0.8,1.35,7,23.0,0.61,76,1.87,0.437,0.57,59.4,,9.21,24.8,marron
ESP010567,20.59,12.87,8.34,6.62,4.64,5.3,9.86,11.0,7.89,11.86,5.68,5.13,3.2,2.4,1.17,2.23,11,71.0,1.12,231,2.47,0.479,0.576,133.9,455.1,16.71,41.76,metalico
ESP010568,19.34,11.77,9.61,7.57,,,8.8,10.0,8.88,12.25,5.53,4.84,3.29,2.51,1.31,2.09,10,80.0,1.57,265,2.01,,0.633,145.0,549.2,15.81,41.23,metalico
ESP010569,13.57,8.63,6.08,4.85,,4.21,5.13,9.0,5.34,7.64,3.73,3.13,1.96,1.72,0.86,1.08,8,51.0,0.59,89,2.23,0.378,0.563,64.4,173.7,10.02,26.12,marron
ESP010570,,7.83,5.38,4.56,,3.98,6.18,9.0,5.24,8.3,3.87,3.4,2.22,1.43,0.69,1.38,9,35.0,0.51,77,2.46,0.466,0.626,55.6,141.9,10.58,26.54,negro
ESP010571,12.52,8.01,5.76,4.71,3.27,4.01,5.21,9.0,4.92,7.22,3.27,3.43,1.92,1.57,0.74,1.36,9,23.0,0.93,91,2.17,0.416,0.577,56.2,144.6,11.36,28.48,negro
ESP010572,22.05,13.74,9.75,8.02,5.68,5.75,8.67,11.0,8.78,12.38,5.71,,3.61,2.59,1.31,2.11,10,51.0,0.65,262,2.26,0.393,0.561,167.7,618.1,16.89,43.53,negro
ESP010573,19.07,11.62,7.27,5.78,4.17,5.37,9.59,11.0,7.43,10.55,5.11,4.39,2.8,1.9,1.06,1.98,11,58.0,0.93,186,2.62,0.503,0.553,108.1,372.2,15.42,38.11,metalico
ESP010574,10.52,6.7,5.29,4.25,3.16,3.27,4.93,8.0,4.75,6.84,2.94,,1.87,1.38,0.69,,8,23.0,0.66,6,1.99,0.469,0.65,43.4,91.0,7.79,20.87,negro
ESP010575,20.04,12.55,7.52,5.8,4.1,5.86,9.99,11.0,7.46,11.71,5.36,4.82,3.5,1.91,1.06,2.24,12,58.0,1.1,226,2.66,0.499,,117.5,441.6,16.04,39.6,marron
ESP010576,20.4,12.49,8.63,7.02,4.78,,9.23,12.0,8.22,12.54,5.75,5.3,3.44,2.18,1.13,1.89,11,,0.88,268,2.36,0.452,0.615,137.3,537.0,16.8,42.23,negro
ESP010577,20.5,12.66,6.61,5.39,3.72,4.93,9.76,11.0,7.37,11.72,5.21,4.86,3.08,1.71,0.85,1.92,11,58.0,0.61,198,3.1,0.476,0.572,105.7,334.0,14.77,36.15,marron
ESP010578,10.54,6.84,6.78,5.23,3.71,,4.7,8.0,5.0,6.46,2.93,2.73,1.75,1.75,0.96,1.12,7,53.0,0.77,66,1.55,0.446,0.613,55.7,176.5,9.2,25.18,metalico
ESP010579,17.44,10.97,7.05,5.84,,5.51,7.73,12.0,7.82,10.5,5.28,4.01,3.09,2.11,0.95,1.73,9,59.0,0.97,181,2.47,0.443,0.602,95.9,338.7,13.64,34.33,metalico
ESP010580,12.69,7.87,5.78,4.61,3.11,3.42,5.58,9.0,4.65,7.48,3.43,3.38,2.04,1.44,0.82,1.49,9,,0.87,44,2.2,0.44,0.589,57.2,125.4,,26.62,negro
ESP010581,12.44,7.58,5.85,4.7,3.14,4.31,5.33,10.0,5.15,7.19,3.4,3.18,2.21,1.47,0.93,1.55,9,12.0,0.78,73,2.13,0.428,0.578,56.8,156.8,8.66,23.17,negro
ESP010582,11.75,7.51,5.35,4.36,2.77,3.83,4.71,9.0,4.72,7.62,3.49,3.38,2.16,1.51,0.73,1.07,7,35.0,0.66,47,2.2,0.401,0.649,49.0,120.4,8.21,21.77,marron
ESP010583,,14.43,9.0,7.05,5.1,6.18,10.3,10.0,8.29,12.49,5.67,,3.64,2.6,1.21,2.42,11,79.0,1.59,250,2.49,0.459,,157.6,624.3,16.7,42.4,metalico
ESP010584,17.04,10.48,7.02,5.94,3.87,5.5,7.99,,6.38,10.2,4.57,4.56,2.83,1.96,0.98,1.91,11,44.0,0.91,152,2.43,0.469,,93.3,329.0,13.76,34.54,marron
ESP010585,21.84,13.73,8.55,7.12,4.61,5.98,9.29,11.0,8.16,12.2,5.62,5.05,3.26,2.58,1.16,2.27,11,52.0,1.15,278,2.55,0.425,0.559,145.7,558.3,16.24,41.03,marron
ESP010586,11.79,7.18,6.73,5.33,,4.19,4.36,10.0,5.56,7.29,3.43,,1.96,1.87,0.93,1.42,9,28.0,0.26,54,1.75,0.37,0.618,61.9,166.2,8.02,22.77,marron
ESP010587,14.15,8.64,6.15,4.94,3.51,4.53,6.08,8.0,5.66,8.53,3.93,3.59,2.26,1.79,0.8,1.14,8,36.0,0.89,97,2.3,0.43,0.603,67.9,197.1,11.69,29.53,marron
ESP010588,18.46,11.5,8.37,6.42,,5.33,8.61,,7.3,10.6,4.8,4.86,3.14,2.3,1.13,2.27,10,54.0,1.01,208,2.21,0.466,0.574,120.5,411.8,14.81,37.99,metalico
ESP010589,13.13,7.93,6.32,5.26,3.57,3.54,5.86,10.0,5.28,7.6,,3.3,2.06,1.8,0.73,1.29,8,50.0,0.53,64,2.08,0.446,0.579,64.7,146.9,10.39,27.1,negro
ESP010590,11.45,7.14,5.53,4.4,3.0,3.91,4.98,8.0,5.53,7.29,3.38,2.83,2.11,1.58,0.9,0.91,7,34.0,0.49,61,2.07,0.435,0.637,49.4,123.8,9.26,24.05,marron
ESP010591,13.42,8.45,6.34,5.43,3.29,4.58,5.18,9.0,5.48,7.83,,3.19,2.31,1.87,0.82,1.35,9,49.0,0.55,93,2.12,,0.583,66.4,194.8,9.75,25.84,negro
ESP010592,18.2,11.34,7.18,5.6,3.98,5.95,9.57,12.0,7.25,11.69,5.62,4.88,3.35,2.08,0.98,2.11,11,69.0,1.04,216,2.53,,0.642,101.9,388.8,15.25,37.68,marron
ESP010593,11.83,7.44,5.3,4.51,2.96,3.12,5.62,,4.95,6.94,3.38,2.99,2.02,1.43,0.63,1.39,6,28.0,0.59,79,2.23,0.475,0.587,48.9,97.8,10.22,25.74,negro
ESP010594,21.33,13.31,8.06,6.48,4.4,5.38,9.19,11.0,7.8,10.87,4.84,4.8,3.07,2.2,1.08,,10,61.0,1.06,235,2.65,0.431,0.51,134.1,462.5,15.82,39.7,metalico
ESP010595,13.81,8.24,5.79,4.46,3.31,3.7,6.06,10.0,5.63,7.81,3.57,3.24,2.27,1.56,0.81,1.53,8,54.0,0.44,69,2.39,0.439,0.566,62.4,147.9,11.43,28.65,negro
ESP010596,19.5,12.31,8.87,7.46,4.9,5.44,8.39,11.0,7.5,11.87,,,3.44,2.53,1.23,,12,60.0,0.93,244,2.2,0.43,0.609,134.9,470.5,15.77,40.41,metalico
